,agent,step,test_id,avg_reward,std_reward
0,ppo,961320,-1,-74.50681818181818,52.49743095183515
1,ppo,962640,-1,-79.03787878787878,42.9912086331948
2,ppo,963960,-1,-84.14015151515152,51.47955663651538
3,ppo,965280,-1,-71.59924242424242,32.77724403757592
4,ppo,966600,-1,-120.92954545454545,80.29624339172842
5,ppo,967920,-1,-69.975,31.724096746699335
6,ppo,969240,-1,-100.0939393939394,55.75476845699654
7,ppo,970560,-1,-72.83181818181818,42.609188293104644
8,ppo,971880,-1,-99.35075757575757,62.554501080950885
9,ppo,973200,-1,-109.1590909090909,53.85538007302444
10,ppo,974520,-1,-82.82272727272728,44.513587627499476
11,ppo,975840,-1,-84.14015151515152,59.078460105709354
12,ppo,977160,-1,-84.50984848484849,59.35911428299695
13,ppo,978480,-1,-90.89090909090909,68.13021340023406
14,ppo,979800,-1,-89.46515151515152,62.51663049632
15,ppo,981120,-1,-81.0719696969697,58.21289403975661
16,ppo,982440,-1,-85.76893939393939,57.50423256171218
17,ppo,983760,-1,-93.33712121212122,66.97435613420534
18,ppo,985080,-1,-76.45984848484848,56.96779972965121
19,ppo,986400,-1,-76.11742424242425,54.09583806907678
20,ppo,987720,-1,-85.20984848484848,61.12410916478999
21,ppo,989040,-1,-93.26060606060607,57.678775779226335
22,ppo,990360,-1,-78.61060606060606,59.187554047942754
23,ppo,991680,-1,-79.775,60.35794853006169
24,ppo,993000,-1,-84.68333333333334,59.569005270265244
25,ppo,994320,-1,-80.78333333333333,52.59631881154092
26,ppo,995640,-1,-83.57575757575758,64.57280612682669
27,ppo,996960,-1,-84.12727272727273,65.80133448369199
28,ppo,998280,-1,-91.05833333333334,64.54452602387336
29,ppo,999600,-1,-98.97121212121212,63.54824524948221
30,ppo,1000920,-1,-82.87424242424242,53.43308704438426
