,agent,step,test_id,avg_reward,std_reward
0,ma2c,1320,-1,-136.51818181818183,79.88278137577946
1,ma2c,2640,-1,-157.0719696969697,78.78201688202125
2,ma2c,3960,-1,-146.6098484848485,80.83219651794967
3,ma2c,5280,-1,-143.36136363636365,80.86492960835827
4,ma2c,6600,-1,-149.80530303030304,82.87227742627363
5,ma2c,7920,-1,-145.77272727272728,78.14439731648024
6,ma2c,9240,-1,-141.41136363636363,72.68329822293934
7,ma2c,10560,-1,-144.82348484848484,83.41760529231414
8,ma2c,11880,-1,-147.6090909090909,78.24837248239257
9,ma2c,13200,-1,-143.56060606060606,77.13268355476791
10,ma2c,14520,-1,-132.24166666666667,66.72809996167244
11,ma2c,15840,-1,-143.83409090909092,79.74168839517348
12,ma2c,17160,-1,-142.3159090909091,74.54909540489881
13,ma2c,18480,-1,-139.1939393939394,78.10594180398337
14,ma2c,19800,-1,-147.08030303030304,86.40255278162157
15,ma2c,21120,-1,-144.62424242424242,77.44191187809848
16,ma2c,22440,-1,-147.1310606060606,84.57047592910375
17,ma2c,23760,-1,-143.5621212121212,67.45619738168932
18,ma2c,25080,-1,-155.6651515151515,84.2954220555452
19,ma2c,26400,-1,-138.7310606060606,76.12958214559563
20,ma2c,27720,-1,-149.21742424242424,79.02137512533433
21,ma2c,29040,-1,-142.10227272727272,75.1711541688508
22,ma2c,30360,-1,-135.8159090909091,68.90963706357884
23,ma2c,31680,-1,-187.21060606060607,91.79281451509365
24,ma2c,33000,-1,-166.85,79.21521461987417
25,ma2c,34320,-1,-150.6,75.34011165536208
26,ma2c,35640,-1,-157.96136363636364,87.25320619942794
27,ma2c,36960,-1,-159.63939393939393,81.1157158459965
28,ma2c,38280,-1,-167.11136363636365,94.08335532736726
29,ma2c,39600,-1,-178.89924242424243,98.27802861533695
30,ma2c,40920,-1,-159.17424242424244,92.73947675433857
31,ma2c,42240,-1,-163.8219696969697,85.04894830767459
32,ma2c,43560,-1,-158.9318181818182,92.28887397910204
33,ma2c,44880,-1,-168.57651515151514,91.12310301458871
34,ma2c,46200,-1,-174.13333333333333,89.04633852124635
35,ma2c,47520,-1,-153.36212121212122,86.67847634890178
36,ma2c,48840,-1,-154.72121212121212,79.74282244731558
37,ma2c,50160,-1,-152.88939393939393,78.38070384984002
38,ma2c,51480,-1,-162.6810606060606,90.26097988491043
