,agent,step,test_id,avg_reward,std_reward
0,ia2c,720,-1,-895.7147222222223,729.9695902379394
1,ia2c,1440,-1,-1064.1030555555556,963.9506802687903
2,ia2c,2160,-1,-871.1797222222223,781.6894914080019
3,ia2c,2880,-1,-1072.8569444444445,955.1814338017425
4,ia2c,3600,-1,-548.8433333333334,252.9827091368543
5,ia2c,4320,-1,-1001.5891666666668,744.65685463871
6,ia2c,5040,-1,-733.4158333333334,473.55200503379535
7,ia2c,5760,-1,-636.9966666666667,365.47496994398335
8,ia2c,6480,-1,-827.505,677.0079528315914
9,ia2c,7200,-1,-958.8861111111113,768.4419080381555
10,ia2c,7920,-1,-740.4869444444446,465.35377312630203
11,ia2c,8640,-1,-816.4372222222223,700.6088671474386
12,ia2c,9360,-1,-887.7825,756.5592078426696
13,ia2c,10080,-1,-901.1877777777779,710.414593948535
14,ia2c,10800,-1,-861.7730555555555,561.0240922699579
15,ia2c,11520,-1,-763.0802777777778,512.5025289367746
16,ia2c,12240,-1,-869.1300000000001,696.7816386708888
17,ia2c,12960,-1,-944.7366666666667,794.1319818169046
18,ia2c,13680,-1,-940.3161111111112,759.0174596633238
19,ia2c,14400,-1,-1082.7783333333334,1001.0066992657943
20,ia2c,15120,-1,-770.7647222222223,528.3142811811194
21,ia2c,15840,-1,-827.5669444444444,596.8256979559975
22,ia2c,16560,-1,-1062.5013888888889,844.8204438408226
23,ia2c,17280,-1,-1126.8594444444443,986.1665525996905
24,ia2c,18000,-1,-852.6263888888889,715.4240923499415
25,ia2c,18720,-1,-927.1922222222222,787.7464693990177
26,ia2c,19440,-1,-913.8044444444444,687.5792413987417
27,ia2c,20160,-1,-1019.3908333333334,886.9380076510264
28,ia2c,20880,-1,-1142.6200000000001,1058.354437290898
29,ia2c,21600,-1,-1021.5872222222222,840.833867824776
30,ia2c,22320,-1,-984.3255555555558,846.893705787491
31,ia2c,23040,-1,-1250.9155555555556,1034.1635249386725
32,ia2c,23760,-1,-1175.958611111111,939.6315307420977
33,ia2c,24480,-1,-641.146388888889,349.3812573095216
34,ia2c,25200,-1,-1134.173611111111,896.6715445488535
35,ia2c,25920,-1,-1017.7333333333333,809.4758605281431
36,ia2c,26640,-1,-804.2308333333334,589.522103152088
